month,pct,practice,name,address1,address2,address4,address5,postcode,total_pericyazine
2019-03-01,00J,A83049,QUEENS ROAD SURGERY,QUEENS ROAD SURGERY,"83 QUEENS ROAD, BLACKHILL",COUNTY DURHAM,,DH8 0BW,4
2019-03-01,00J,A83072,LANCHESTER MEDICAL CENTRE,LANCHESTER MEDICAL CENTRE,DURHAM ROAD,COUNTY DURHAM,,DH7 0LP,6
2019-03-01,13T,A85611,PELAW MEDICAL PRACTICE,PELAW MEDICAL PRACTICE,"7-8 CROXDALE TCE, PELAW",TYNE & WEAR,,NE10 0RR,4
2019-03-01,13T,A86601,DENTON TURRET MEDICAL CENTRE,DENTON TURRET MEDICAL CTR,"10 KENLEY RD, SLATYFORD",,,NE5 2UY,4
2019-03-01,03Q,B82005,PRIORY MEDICAL GROUP,PRIORY MEDICAL CENTRE,CORNLANDS ROAD,NORTH YORKSHIRE,,YO24 3WX,6
2019-03-01,03Q,B82021,DALTON TERRACE SURGERY,GLENTWORTH,DALTON TERRACE,NORTH YORKSHIRE,,YO24 4DB,5
2019-03-01,03Q,B82041,BEECH TREE SURGERY,BEECH TREE SURGERY,68 DONCASTER ROAD,NORTH YORKSHIRE,,YO8 9AJ,4
2019-03-01,02R,B83010,PARKLANDS MEDICAL PRACTICE,PARKLANDS MEDICAL PRAC,30 BUTTERSHAW LANE,WEST YORKSHIRE,,BD6 2DD,4
2019-03-01,02R,B83018,IDLE MEDICAL CENTRE,IDLE MEDICAL CENTRE,"440 HIGHFIELD ROAD, IDLE",WEST YORKSHIRE,,BD10 8RU,4
2019-03-01,02N,B83620,ADDINGHAM SURGERY,ADDINGHAM MEDICAL CENTRE,"151A MAIN ST, ADDINGHAM",,,LS29 0LZ,3
2019-03-01,02T,B84012,SPRING HALL GROUP PRACTICE,SPRING HALL GROUP PRACT,SPRING HALL MEDICAL CTR,HALIFAX,,HX1 4JG,5
2019-03-01,02T,B84021,KING CROSS PRACTICE,KING CROSS SURGERY,199 KING CROSS ROAD,WEST YORKSHIRE,,HX1 3LW,7
2019-03-01,15F,B86006,DR L FREEMAN & PARTNERS,OULTON MEDICAL CENTRE,"QUARRY HILL, OULTON",,,LS26 8SZ,5
2019-03-01,15F,B86018,MULBERRY STREET MEDICAL PRACTICE,PUDSEY HEALTH CENTRE,"18 MULBERRY ST, PUDSEY",,,LS28 7XP,2
2019-03-01,15F,B86054,THE GARDEN SURGERY,THE GARDEN SURGERY,ELHC 78 OSMONDTHORPE LANE,,,LS9 9EF,8
2019-03-01,15F,B86059,MEANWOOD HEALTH CENTRE,MEANWOOD HEALTH CENTRE,548 MEANWOOD ROAD,WEST YORKSHIRE,,LS6 4JN,8
2019-03-01,15F,B86066,THE STREET LANE PRACTICE,THE STREET LANE PRACTICE,12 DEVONSHIRE AVENUE,LEEDS,,LS8 1AY,9
2019-03-01,15M,C81020,NEWHALL SURGERY,46-48 HIGH STREET,"NEWHALL, SWADLINCOTE",DERBYSHIRE,,DE11 0HU,2
2019-03-01,15M,C81649,CALOW AND BRIMINGTON PRACTICE,BRIMINGTON&CALOW MED PRAC,"FOLJAMBE ROAD, BRIMINGTON",DERBYSHIRE,,S43 1DD,4
2019-03-01,04C,C82008,OAKMEADOW SURGERY (RA LEACH),OAKMEADOW SURGERY,87 TATLOW ROAD,LEICESTER,,LE3 8NF,2
2019-03-01,99D,C83022,MUNRO MEDICAL CENTRE,MUNRO MEDICAL CENTRE,WEST ELLOE AVENUE,LINCOLNSHIRE,,PE11 2BY,4
2019-03-01,04E,C84069,ROUNDWOOD SURGERY,ROUNDWOOD SURGERY,WOOD STREET,NOTTINGHAMSHIRE,,NG18 1QQ,4
2019-03-01,02P,C85001,GOLDTHORPE MEDICAL CENTRE PMS PRACTICE,THE GOLDTHORPE CENTRE,"GOLDTHORPE GRN,GOLDTHORPE",SOUTH YORKSHIRE,,S63 9EH,2
2019-03-01,03L,C87031,DR RAOLU'S PRACTICE,MALTBY SERVICES CENTRE,"BRAITHWELL RD, MALTBY",,,S66 8JE,2
2019-03-01,03N,C88090,MANOR AND PARK GROUP PRACTICE,MANOR PARK MEDICAL CENTRE,204 HARBOROUGH AVENUE,SOUTH YORKSHIRE,,S2 1QU,2
2019-03-01,06H,D81011,CLARKSON SURGERY,CLARKSON SURGERY,DE HAVILLAND ROAD,CAMBRIDGESHIRE,,PE13 3AN,3
2019-03-01,06H,D81026,BOROUGHBURY MEDICAL CENTRE,CRAIG STREET,PETERBOROUGH,,,PE1 2EJ,4
2019-03-01,06H,D81037,BRIDGE STREET MEDICAL CENTRE,"BRIDGE ST MC,2 ALL SAINTS","PASSAGE,OFF BRIDGE ST",,,CB2 3LS,2
2019-03-01,06H,D81057,CEDAR HOUSE SURGERY,CEDAR HOUSE SURGERY,"14 HUNTINGDON ST,ST NEOTS",CAMBRIDGESHIRE,,PE19 1BQ,11
2019-03-01,06H,D81061,GEORGE CLARE SURGERY,GEORGE CLARE SURGERY,"SWAN DRIVE, NEW ROAD",CAMBRIDGESHIRE,,PE16 6EX,2
2019-03-01,06H,D81622,TRINITY SURGERY,TRINITY SURGERY,29 ST AUGUSTINES ROAD,CAMBRIDGESHIRE,,PE13 3UZ,6
2019-03-01,06V,D82001,HOLT MEDICAL PRACTICE,KELLING HOSPITAL,OLD CROMER ROAD,NORFOLK,,NR25 6QA,59
2019-03-01,06Y,D82002,GROVE SURGERY,GROVE SURGERY,GROVE LANE,NORFOLK,,IP24 2HY,12
2019-03-01,06M,D82003,BEACHES MEDICAL CENTRE,SUSSEX ROAD,GORLESTON-ON-SEA,NORFOLK,,NR31 6QB,161
2019-03-01,06V,D82004,CROMER GROUP PRACTICE,CROMER GROUP PRACTICE,MILL ROAD,NORFOLK,,NR27 0BG,55
2019-03-01,06V,D82005,SHERINGHAM MEDICAL PRACTICE,THE HEALTH CENTRE,CROMER ROAD,NORFOLK,,NR26 8RT,42
2019-03-01,06Y,D82006,CHET VALLEY MEDICAL PRACTICE,GEORGE HOUSE,"40-48 GEORGE LANE, LODDON",NORFOLK,,NR14 6QH,30
2019-03-01,06M,D82007,EAST NORFOLK MEDICAL PRACTICE,EAST NORFOLK MEDICAL PRAC,147 LAWN AVENUE,NORFOLK,,NR30 1QP,131
2019-03-01,06W,D82008,ST STEPHEN'S GATE M/PRACT,ST STEPHENS GATE MED PRAC,55 WESSEX STREET,NORFOLK,,NR2 2TJ,211
2019-03-01,06V,D82009,STALHAM STAITHE SURGERY,THE STAITHE SURGERY,LOWER STAITHE ROAD,NORFOLK,,NR12 9BU,29
2019-03-01,07J,D82010,GRIMSTON MEDICAL CENTRE,GRIMSTON MEDICAL CENTRE,"CONGHAM RD,GRIMSTON",NORFOLK,,PE32 1DW,6
2019-03-01,06W,D82011,CASTLE PARTNERSHIP,TUCKSWOOD SURGERY,HALL ROAD,NORFOLK,,NR4 6NE,109
2019-03-01,06W,D82012,MAGDALEN MEDICAL PRACTICE,THE MAGDALEN MEDICAL PRAC,LAWSON ROAD,NORFOLK,,NR3 4LF,39
2019-03-01,06W,D82013,OLD CATTON MEDICAL PRACTICE,OLD CATTON MED. PRACTICE,"55 LODGE LANE, OLD CATTON",,,NR6 7HQ,32
2019-03-01,06V,D82016,MARKET SURGERY,THE MARKET SURGERY,"26 NORWICH ROAD, AYLSAM",NORFOLK,,NR11 6BW,29
2019-03-01,06W,D82017,TRINITY & BOWTHORPE MEDICAL PRACTICE,TRINITY & BOWTHORPE SURG.,1 TRINITY STREET,NORFOLK,,NR2 2BQ,84
2019-03-01,06W,D82018,HELLESDON MEDICAL PRACTICE,HELLESDON MEDICAL PRACT.,343 REEPHAM ROAD,NORWICH,,NR6 5QJ,13
2019-03-01,06M,D82019,THE MILLWOOD PARTNERSHIP,MILLWOOD SURGERY,"MILL LANE, BRADWELL",NORFOLK,,NR31 8HS,59
2019-03-01,06Y,D82020,ORCHARD SURGERY,ORCHARD SURGERY,COMMERCIAL ROAD,NORFOLK,,NR19 1AE,15
2019-03-01,06Y,D82022,LAWNS PRACTICE,THE LAWNS MEDICAL PRACT.,MOUNT STREET,NORFOLK,,IP22 4WG,11
2019-03-01,06W,D82023,ROUNDWELL MEDICAL CENTRE,25 DR TORRENS WAY,COSTESSEY,NORFOLK,,NR5 0GB,51
